product,type,benchmark_answer,question,response,score,reason
zurich,Calculation (Positive),"For baggage delay whilst overseas, the Zurich Essential Plan pays $200 per 6 consecutive hours of delay, with an Overseas Limit of $400. For 18 hours of delay, this would theoretically be $200 x (18/6) = $600. However, since the Overseas Limit for the Essential Plan is $400, the adult would receive $400.
","If an adult's checked-in baggage is delayed for 18 consecutive hours while overseas under the Zurich Essential Plan, how much cash benefit would they receive for Baggage Delay?
","I am sorry, but I cannot provide the specific cash benefit for Baggage Delay under the Zurich Essential Plan for an 18-hour delay from the available information. The search results provide general conditions for baggage delay but do not specify the benefit amounts for Zurich's plans.

To get this information, you would need to refer to the official Zurich Travel Insurance policy wording or contact Zurich Singapore directly.

Do you have any other questions about Zurich Travel Insurance?",1,"The model response directly contradicts the reference answer by stating it cannot provide the specific cash benefit, when the reference answer clearly provides the calculation and the exact benefit amount of $400 for an 18-hour delay under the specified plan."
sompo,Calculation (Negative),"Under the Sompo Essential Plan, for every six hours of delay while Overseas, an Adult can claim $100 and a Child $50. Since the benefit is paid for every six hours of delay, and not for partial increments, for an 8-hour delay, you would only be eligible for the benefit for the first 6 hours. Therefore, an Adult would receive $100 for the 6 hours of delay. The question implies a calculation for the specific 8-hour period, but the policy specifies increments of 6 hours.
","If my flight is delayed by 8 hours while overseas, how much can I calculate to claim for travel delay under the Sompo Essential Plan?
","For a flight delayed by 8 hours overseas under the Sompo Essential Plan, you can claim for every full six hours in a row of delay.

Since your flight is delayed by 8 hours, you would be eligible for the benefit for the first 6 hours of delay. The specific cash benefit amount for the Sompo Essential Plan is not provided in the available information. You will need to refer to the Table of Cover in your Sompo Travel Insurance policy wording for the exact amount.

You must obtain written proof of the delay from the transport operator, stating the number of hours of delay and the reason for the delay.

Do you need assistance finding the Sompo Travel Insurance policy wording?",2,"The model response contradicts the reference by stating that the specific cash benefit amount is not provided, whereas the reference clearly states that an Adult can claim $100 and a Child $50. Additionally, the model fabricates information by stating that written proof of delay is required, which is not mentioned in the reference answer."
etiqua,Fact Recall (Positive),"The maximum sum insured for Overseas Medical Expenses for an Adult aged below 70 years old under the Etiqa Suite Plan is $2.5 million.
",What is the maximum sum insured for Overseas Medical Expenses for an Adult aged below 70 years old under the Etiqa Suite Plan?,"Benefit: Overseas Medical Expenses
Etiqa Suite Plan (Adult aged below 70 years old): Up to SGD 2,500,000
Do you want to know more about the Etiqa Suite Plan?",4,"The model response accurately states the sum insured and the conditions, which perfectly aligns with the reference answer. However, it adds 'SGD' which is not explicitly stated in the reference answer, making it a very minor, inconsequential detail not found in the reference."
singlife,Fact Recall (Negative),"The provided Singlife Travel Insurance policy documents do not explicitly detail specific residency requirements for purchasing the policy. The documents focus on the summary of cover and limits, as well as policy features.
","What are the specific eligibility requirements regarding residency for purchasing the Singlife Travel Insurance policy?
","To be eligible for a travel insurance policy in Singapore, including Singlife (based on general Singapore travel insurance criteria), you typically need to meet the following residency requirements:

Be an ordinarily Singapore resident.
Hold a valid Singapore identification document such as a Singapore passport, NRIC, employment pass, work permit, long-term visit pass, or student pass.
Your trip must start and end in Singapore.
You must intend to return to Singapore after your trip.
The policy is issued in Singapore and is subject to the Insurance Act (Cap 142). You are generally considered ordinarily resident in Singapore if:

You are a citizen of Singapore, unless you have resided outside Singapore continuously for 5 or more years preceding the application date and are not currently residing in Singapore.
You are a permanent resident, unless you have resided in Singapore for less than a total of 183 days in the 12 months preceding the application date.
You have a work pass or permit and have resided in Singapore for at least 183 days in the 12 months preceding the application date.
You have an Immigration Act pass or permit with a duration longer than 90 days and have resided in Singapore continuously for at least 90 days in the 12 months preceding the application date.
If you do not meet these definitions, you must notify the insurer. Insurers may request documentation to prove your eligibility, such as a copy of your passport, Singapore residency documents, or current visa.",1,"The model response fabricates detailed residency requirements and applies them to Singlife Travel Insurance. This directly contradicts the reference answer, which explicitly states that 'The provided Singlife Travel Insurance policy documents do not explicitly detail specific residency requirements for purchasing the policy.'"
etiqua,Summarization (Positive),"The Etiqa Travel Infinite policy highlights several key benefits, including payment upon a 3-hour flight delay even without submitting a claim, fast and easy claims payout via PayNow, 24-hour worldwide emergency medical assistance, baggage belt collection details, 24-hour travel assistance support, and flight check-in reminders.
","Could you summarize the key benefits highlighted for the Etiqa Travel Infinite policy?
","The Etiqa Travel Infinite policy (also referred to as Tiq Travel Insurance by Etiqa) highlights the following key benefits:

Comprehensive COVID-19 add-on for protection before, during, and after your trip.
Coverage for pre-existing medical conditions.
Full refund if you need to cancel your travel policy.
Automatic payment upon a 3-hour flight delay without needing to submit a claim.
24-hour worldwide emergency travel support.
Covers all forms of transportation.
Includes flight check-in reminders and baggage belt collection details.
Do you want to know more about a specific benefit, such as the COVID-19 coverage or pre-existing conditions?",2,"The model response fabricates several key benefits not present in the reference answer, including 'Comprehensive COVID-19 add-on', 'Coverage for pre-existing medical conditions', 'Full refund if you need to cancel', and 'Covers all forms of transportation'. Additionally, the model's '24-hour worldwide emergency travel support' misrepresents and combines two distinct benefits from the reference ('24-hour worldwide emergency medical assistance' and '24-hour travel assistance support') while omitting the 'medical' aspect. The introduction of 'Tiq Travel Insurance by Etiqa' is also not in the reference. Only a few points are faithfully extracted."
singlife,Summarization (Negative),"While Rental Vehicle Return is listed as a policy feature (Section 26) in the Singlife Travel Insurance policy, the provided ""Summary of Cover and Limits"" for the Lite Plan does not detail any specific benefits or sum insured for this feature.","Please summarize the benefits for Rental Vehicle Return under the Singlife Lite Plan.
","I am sorry, but I do not have specific information regarding the ""Rental Vehicle Return"" benefit under the Singlife Lite Plan in the available resources.

For detailed information on this benefit, please refer to the official Singlife Travel Insurance policy wording.

Do you need assistance finding the Singlife Travel Insurance policy wording?",5,"The model response accurately reflects the reference answer by stating that it does not have specific information regarding the 'Rental Vehicle Return' benefit under the Singlife Lite Plan, which aligns with the reference's statement that the 'Summary of Cover and Limits' for the Lite Plan does not detail any specific benefits or sum insured for this feature."
etiqua,One-hop (Positive),"The Personal Liability Abroad coverage for the Etiqa plans are as follows:
    ◦ Classic Plan: $750,000
    ◦ Deluxe Plan: $1 million
    ◦ Suite Plan: $1.5 million","Compare the Personal Liability Abroad coverage across the Etiqa Classic, Deluxe, and Suite Plans.
","Criteria	Etiqa Classic Plan	Etiqa Deluxe Plan	Etiqa Suite Plan
Personal Liability Abroad	SGD 750,000	SGD 1,000,000	SGD 1,500,000
Key Differences & Similarities: The Personal Liability Abroad coverage increases with each plan tier. The Classic Plan offers SGD 750,000, the Deluxe Plan offers SGD 1,000,000, and the Suite Plan provides the highest coverage at SGD 1,500,000.

Do you want to know more about other benefits of the Etiqa Travel Infinite plans?",4,"The model response accurately states the Personal Liability Abroad coverage amounts for each plan and correctly identifies that the coverage increases with each plan tier. However, the reference answer uses '$' while the model response specifies 'SGD', which is a minor detail not explicitly present in the reference answer."
etiqua,One-hop (Negative),"The Etiqa Classic Plan does not offer coverage for Overseas Traditional Chinese Medicine Expenses (marked as 'NA'). The Etiqa Deluxe Plan offers a sum insured of $500 for this benefit.
","What is the difference in Overseas Traditional Chinese Medicine Expenses coverage between the Etiqa Classic and Etiqa Deluxe plans?
","I am sorry, but I do not have specific information regarding the ""Overseas Traditional Chinese Medicine Expenses"" coverage for the Etiqa Classic and Etiqa Deluxe plans in the available resources.

The provided information does not contain a direct comparison of this specific benefit across these two Etiqa plans.

Do you want to know more about other benefits or a different insurer?",,
"etiqua, singlife",Multi-hop (Positive),"    ◦ Under the Etiqa Classic Plan, an Adult aged below 70 years old has $500,000 coverage for Emergency Medical Evacuation.
    ◦ Under the Singlife Lite Plan, an Adult up to 70 years old has S$250,000 coverage for Emergency Medical Evacuation.","Compare the Emergency Medical Evacuation coverage for an Adult aged below 70 years old between the Etiqa Classic Plan and the Singlife Lite Plan.
","I am sorry, but I do not have specific information regarding the ""Emergency Medical Evacuation"" coverage for the Etiqa Classic Plan and the Singlife Lite Plan in the available resources.

The provided information does not contain a direct comparison of this specific benefit across these two plans, nor does it detail the coverage amount for Etiqa Classic or Singlife Lite for Emergency Medical Evacuation.

Do you want to know more about other benefits or a different insurer?",1,"The model response directly contradicts the reference answer by stating it does not have specific information regarding the 'Emergency Medical Evacuation' coverage for the Etiqa Classic Plan and the Singlife Lite Plan, and that the information is not detailed, whereas the reference answer explicitly provides these details for both plans."
"etiqua, singlife",Multi-hop (Negative),"The Etiqa Classic Plan does not offer coverage for Pet Care (marked as 'NA'). Similarly, the Singlife Travel Insurance Lite Plan does not list or provide any coverage details for ""Domestic Pet Care"" in its Summary of Cover and Limits, though ""Domestic Pet Care"" (Section 28) is listed as a policy feature in the table of contents.
","Compare the coverage for ""Pet Care"" between the Etiqa Classic Plan and the Singlife Lite Plan.
","I am sorry, but I do not have specific information regarding ""Pet Care"" coverage for either the Etiqa Classic Plan or the Singlife Lite Plan in the available resources.

The provided information does not detail whether these plans offer ""Pet Care"" coverage or the benefit amounts if they do.

Do you want to know more about other benefits or a different insurer?",,
etiqua,Inference (Positive),"For an Adult aged 70 years old and above seeking the highest coverage for Personal Accident (Accidental Death and Permanent Disablement) under Etiqa, you should choose the Suite Plan. This plan provides a sum insured of $150,000, which is higher than the $100,000 offered by the Deluxe Plan and $50,000 by the Classic Plan.
","I am an Adult aged 75 years old traveling and my primary concern is securing the highest available coverage for Personal Accident (Accidental Death and Permanent Disablement). Which Etiqa plan would be most suitable for me?
","For an Adult aged 75 years old, to secure the highest available coverage for Personal Accident (Accidental Death & Permanent Disablement) under Etiqa Travel Insurance, you should choose the Suite Plan.

Benefit: Personal Accident (Accidental Death & Permanent Disablement)
Classic Plan: SGD 50,000
Deluxe Plan: SGD 75,000
Suite Plan: SGD 100,000
Do you want to know more about other benefits of the Etiqa Suite Plan?",,
singlife,Inference (Negative),"No, if you purchase the Singlife Lite Plan, you cannot infer coverage for pregnancy-related overseas emergency medical expenses. The document explicitly states that ""Overseas Emergency Medical Expenses - Pregnancy related"" is ""Not Covered"" under the Lite Plan. This benefit is available only under the Plus ($5,000) and Prestige ($8,000) plans.
","If I purchase the Singlife Lite Plan, can I infer that my pregnancy-related overseas emergency medical expenses will be covered?
","I am sorry, but based on the available information, I cannot confirm that pregnancy-related overseas emergency medical expenses are covered under the Singlife Lite Plan. The provided details do not specify coverage for pregnancy.

For accurate information, please refer to the official Singlife Travel Insurance policy wording or contact Singlife directly.

Do you need assistance finding the Singlife Travel Insurance policy wording?",,
etiqua,Calculation (Positive),"Under the Etiqa Deluxe Plan, the benefit for Baggage Delay is $100 for every 6 hours of delay, with a maximum limit of $1,000. For an 18-hour delay, this calculates to 18 hours / 6 hours = 3 increments. Therefore, you would receive $300 ($100 x 3).
","If an adult's checked-in baggage is delayed for 18 consecutive hours under the Etiqa Deluxe Plan, how much cash benefit would they receive for Baggage Delay?
","Based on the general conditions for baggage delay, if your checked-in baggage is delayed for 18 consecutive hours while overseas, Etiqa will pay a cash benefit for every six continuous hours of delay.

To calculate the benefit for an 18-hour delay: 18 hours / 6 hours per payment interval = 3 payment intervals.

However, the specific cash benefit amount per 6-hour interval for the Etiqa Deluxe Plan is not available in the provided information. You would need to refer to the Etiqa Travel Insurance policy wording for the exact amount.

Do you need assistance finding the Etiqa Travel Insurance policy wording?",,
singlife,Calculation (Negative),"Under the Singlife Plus Plan, there is no specific Overseas Hospital Income in ICU benefit mentioned for which you would receive an additional lump sum. The document explicitly states ""Not covered"" for Overseas Hospital Income in ICU under the Plus plan. This benefit is only available under the Prestige Plan, which offers $50,000 ($400 for every 24 hours) for Overseas Hospital Income in ICU.
","If I am hospitalized in an ICU overseas for 48 hours due to an injury under the Singlife Plus Plan, how much additional hospital income would I receive for the ICU stay?
","I am sorry, but I still cannot provide the specific amount of additional hospital income you would receive for an ICU stay overseas under the Singlife Plus Plan. The available information does not detail the ICU-specific benefits for Singlife plans.

For precise benefit amounts, please refer to the official Singlife Travel Insurance policy wording or contact Singlife Singapore directly.

Do you need assistance finding the Singlife Travel Insurance policy wording?",,
bubblegum,Fact Recall (Positive),"Under the Bubblegum Travel Insurance policy, ""Child(ren)"" are defined as those aged below eighteen (18) years of age.
","What is the maximum age for a child to be covered under the Bubblegum Travel Insurance policy?
","I am sorry, but I cannot find the specific maximum age for a child to be covered under the Bubblegum Travel Insurance policy from my available resources.

For the most accurate and up-to-date information, please refer to the official Bubblegum Travel Insurance policy wording or contact Bubblegum directly.",,
bubblegum,Fact Recall (Negative),"The provided excerpts for Bubblegum Travel Insurance mention that ""We will not pay, for each article or set/pair of any articles, more than the applicable Sum Insured per article shown in the Schedule of Benefits"", but the specific sum insured for personal baggage per article is not provided in these documents.
","What is the specific sum insured for Personal Baggage for a single item under the Bubblegum Travel Insurance policy?
","The Bubblegum Travel Insurance policy states that for Personal Baggage, they will not pay more than the applicable Sum Insured per article shown in the Schedule of Benefits.

However, the specific ""Schedule of Benefits"" with the exact sum insured for a single item is not provided in the available policy wording.

To find the specific sum insured for a single item under the Bubblegum Travel Insurance policy, you would need to refer to the Schedule of Benefits which accompanies the policy.

Do you need assistance finding the Bubblegum Travel Insurance policy wording or their contact information?",,
aig,Summarization (Positive),"To be eligible for cover under the AIG Travel Guard Direct policy, you must be ordinarily resident in Singapore with full rights to enter and return to Singapore regardless of medical status, you must be returning or intending to return to Singapore at the end of your travel, and your pre-trip arrangements must be made and paid for in Singapore, with your trip commencing in Singapore.
","Please summarize the eligibility criteria for obtaining cover under the AIG Travel Guard Direct policy.
","To be eligible for cover under the AIG Travel Guard Direct policy, you must meet the following criteria:

You must be ordinarily resident in Singapore with full rights to enter and return to Singapore, regardless of medical status.
You must be returning to Singapore at the end of your travel, or intending to return upon completion of your travel.
Your pre-trip arrangements must be made and paid for in Singapore, and your trip must commence in Singapore.
Please note that some benefits may have a reduced amount payable based on age. You should refer to the policy's Schedule of Benefits for further information.

Do you have any other questions about AIG Travel Guard Direct?",,
bubblegum,Summarization (Negative),"The Bubblegum Travel Insurance Policy Endorsement explicitly states that it amends Part III, General Exclusions, number 19 to exclude any loss or expenses in relation to Severe acute respiratory syndrome Coronavirus 2 (SARS-CoV-2) or Coronavirus disease (COVID-19), including any mutation or variation thereof, or any Pandemic or epidemic as declared by the WHO or any governmental authority. Therefore, the policy, as amended by the endorsement, does not cover losses related to COVID-19.
","Can you summarize the circumstances under which the Bubblegum Travel Insurance policy would cover losses related to COVID-19?
","The Bubblegum Travel Insurance policy provides coverage for losses related to COVID-19 under specific sections:

Overseas Medical Expenses Due to COVID-19 (Section 2.4)
Trip Cancellation Due to COVID-19 (Section 5B): This applies if the Insured Person experiences a Serious Sickness due to a COVID-19 diagnosis confirmed by a Physician or Doctor.
Trip Curtailment Due to COVID-19 (Section 6B): This applies if the Insured Person experiences a Serious Sickness due to a COVID-19 diagnosis confirmed by a Physician or Doctor, or an unanticipated death due to COVID-19, which necessitates an early return to Singapore.
Important Exclusions:

The policy generally excludes losses or expenses related to:

Any Infectious Disease, virus, bacterium, or other microorganism.
Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) or Coronavirus disease (COVID-19), including any mutation or variation thereof.
Pandemic or epidemic, as declared by the World Health Organization or any governmental authority.
However, the specific sections mentioned above (2.4, 5B, and 6B) are exceptions to this general exclusion.

Losses NOT covered include:

Any COVID-19 diagnostic tests required by government authorities for your trip (e.g., pre-departure and post-arrival tests).
Claims due to travel advisories, border closures, quarantine orders, or government orders issued by governments or the World Health Organization for the destination country or home country.
Claims due to disinclination to travel, change of mind, or fear of traveling.
Claims due to COVID-19 diagnosis, symptoms, or possible exposure known before purchasing the policy or booking the trip.
Any side effect or complications arising from a vaccination against COVID-19.
Losses if you are traveling against a Physician's or Doctor's advice, or acting against their advice (including traveling with COVID-19 symptoms).
For full details, please refer to the Bubblegum Travel Insurance policy wording.

Do you want to know more about a specific COVID-19 related benefit?",,
bubblegum,One-hop (Positive),"Under the Bubblegum Travel Insurance policy, the compensation for Permanent Loss of Hearing in both ears is 75% of the Sum Insured, while for one ear it is 15% of the Sum Insured.
","Compare the compensation percentages for permanent loss of hearing in both ears versus permanent loss of hearing in one ear under the Bubblegum Travel Insurance's Accidental Death and Disablement section.
","Under the Bubblegum Travel Insurance policy's Accidental Death and Disablement section:

For Permanent Loss of Hearing in both ears, the compensation is 75% of the Sum Insured.
For Permanent Loss of Hearing in one ear, the compensation is 15% of the Sum Insured.",,
aig,One-hop (Negative),"The AIG Travel Guard Direct Basic Plan clearly states that Travel Curtailment is ""N.A"" (Not Applicable), meaning there is no coverage for this benefit. While Baggage Delay is a listed section in the Table of Contents (Section F2), the provided excerpts do not include the specific maximum benefit or sum insured for Baggage Delay for the Basic Plan in the ""Schedule of Benefits"", making a direct numerical comparison impossible.
","Compare the maximum benefit for Travel Curtailment with the maximum benefit for Baggage Delay under the AIG Travel Guard Direct Basic Plan.
","I am sorry, but I could not find the specific maximum benefit amounts for Travel Curtailment and Baggage Delay under the AIG Travel Guard Direct Basic Plan in the provided information. The search results indicate that benefits for individuals aged 70 years or older might be reduced for certain sections, but the exact figures for the Basic Plan for these two benefits are not explicitly stated.

To get the most accurate and up-to-date information, I recommend referring to the official AIG Travel Guard Direct policy wording or contacting AIG directly.

Do you need the AIG Singapore 24-hour Emergency Assistance Hotline number?",,
